@relation training_keyboard_score3-weka.filters.unsupervised.attribute.Remove-R7

@attribute distNorth numeric
@attribute distSouth numeric
@attribute distEast numeric
@attribute distWest numeric
@attribute Score numeric
@attribute NextScore numeric
@attribute lastMove {North,South,East,West,Stop}

@data
3,1,99999,99999,2167,2164,South
3,99999,1,2,2166,2163,West
99999,2,3,2,2165,2362,East
3,99999,1,2,2164,2361,East
99999,99999,0,2,2163,2360,East
99999,99999,5,3,2362,2359,West
99999,99999,5,3,2361,2358,West
5,99999,5,3,2360,2357,West
99999,3,5,3,2359,2556,West
99999,1,3,2,2358,2555,West
3,99999,1,1,2357,2554,West
99999,99999,3,5,2556,2553,West
99999,99999,3,5,2555,2552,East
99999,99999,1,3,2554,2551,East
3,99999,1,3,2553,2550,East
