@RELATION 'training_newmap'

@ATTRIBUTE pacMovesN {0,1}
@ATTRIBUTE pacMovesS {0,1}
@ATTRIBUTE pacMovesE {0,1}
@ATTRIBUTE pacMovesW {0,1}
@ATTRIBUTE pacMovesSTOP {0,1}
@ATTRIBUTE distNearestGhostX NUMERIC
@ATTRIBUTE distNearestGhostY NUMERIC
@ATTRIBUTE Score NUMERIC
@ATTRIBUTE NextScore NUMERIC
@ATTRIBUTE NearestFood NUMERIC
@ATTRIBUTE lastMove {North,South,East,West,Stop}

@data
0,0,1,1,1,-3,0,363,362,99999,East
0,1,1,1,1,-1,0,362,361,99999,East
0,1,1,1,1,-1,0,361,560,99999,East
0,1,1,1,1,0,1,560,-1,99999,East
0,0,1,1,1,-1,4,0,-1,99999,Stop
0,1,1,1,1,0,5,-1,-2,99999,East
0,1,1,1,1,2,5,-2,-3,99999,South
1,1,1,1,1,2,4,-3,-4,99999,South
1,1,1,1,1,2,4,-4,-5,99999,South
1,1,1,0,1,2,3,-5,-6,99999,South
1,1,1,1,1,2,2,-6,-7,99999,West
0,1,1,1,1,1,1,-7,-8,99999,West
0,1,1,1,1,1,1,-8,-9,99999,West
0,1,1,1,1,-1,1,-9,190,99999,East
0,1,1,1,1,7,2,190,189,99999,West
0,1,1,1,1,6,2,189,188,99999,West
0,1,1,0,1,5,1,188,187,99999,South
1,1,1,0,1,6,0,187,186,99999,South
1,1,1,0,1,6,-1,186,185,99999,South
1,0,1,1,1,7,-2,185,184,99999,West
0,0,1,1,1,7,-2,184,183,99999,West
1,0,1,1,1,6,-3,183,182,99999,West
1,0,1,1,1,4,-3,182,181,99999,West
1,0,1,1,1,3,-3,181,180,99999,West
1,0,1,1,1,2,-3,180,179,99999,West
1,0,1,1,1,1,-2,179,178,99999,West
1,0,1,1,1,1,-2,178,177,99999,West
1,0,1,1,1,1,-2,177,176,99999,West
1,0,1,0,1,0,-1,176,375,99999,North
1,1,1,0,1,-7,-10,375,374,99999,East
1,1,1,1,1,-7,-10,374,373,99999,East
1,1,1,1,1,-7,-10,373,372,99999,North
1,1,1,1,1,-7,-9,372,371,99999,North
1,1,1,1,1,-8,-8,371,370,99999,North
1,1,1,1,1,-7,-7,370,369,99999,North
1,1,1,1,1,-6,-5,369,368,99999,North
1,1,1,1,1,-7,-4,368,367,99999,North
1,1,1,1,1,-6,-3,367,366,99999,North
1,1,0,1,1,-6,-1,366,365,99999,North
1,1,0,1,1,-8,-2,365,364,99999,North
1,1,0,1,1,-9,-1,364,363,99999,North
0,1,1,1,1,-7,1,363,362,99999,East
0,0,1,1,1,-6,2,362,361,99999,East
0,0,1,1,1,-7,0,361,360,99999,East
0,0,1,1,1,-6,0,360,359,99999,East
0,0,1,1,1,-6,0,359,358,99999,East
0,1,1,1,1,-4,0,358,357,99999,East
0,1,1,1,1,-3,0,357,356,99999,East
0,1,1,1,1,-2,0,356,555,99999,East
0,0,1,1,1,0,2,555,554,99999,West
0,1,1,1,1,-1,2,554,553,99999,South
