@RELATION 'filter_data_pacman_manual1'

@ATTRIBUTE pacPosX NUMERIC
@ATTRIBUTE pacPosY NUMERIC
@ATTRIBUTE pacMovesN {0,1}
@ATTRIBUTE pacMovesS {0,1}
@ATTRIBUTE pacMovesE {0,1}
@ATTRIBUTE pacMovesW {0,1}
@ATTRIBUTE pacMovesSTOP {0,1}
@ATTRIBUTE ghostPosX1 NUMERIC
@ATTRIBUTE ghostPosY1 NUMERIC
@ATTRIBUTE ghostPosX2 NUMERIC
@ATTRIBUTE ghostPosY2 NUMERIC
@ATTRIBUTE ghostPosX3 NUMERIC
@ATTRIBUTE ghostPosY3 NUMERIC
@ATTRIBUTE ghostPosX4 NUMERIC
@ATTRIBUTE ghostPosY4 NUMERIC
@ATTRIBUTE lastMove {North,South,East,West,Stop}

@data
10,4,1,1,1,1,1,1,1,10,5,5,1,7,1,East
1,11,0,1,1,0,1,6,5,6,9,8,11,14,6,Stop
1,11,0,1,1,0,1,6,4,5,9,8,11,14,6,Stop
1,11,0,1,1,0,1,6,5,5,10,8,11,14,5,Stop
1,11,0,1,1,0,1,6,4,6,10,7,11,15,5,Stop
2,11,0,0,1,1,1,5,4,6,10,8,11,15,5,East
3,11,0,0,1,1,1,5,4,6,10,7,11,16,5,East
4,11,0,0,1,1,1,6,4,6,9,8,11,16,4,East
5,11,0,1,1,1,1,6,4,7,9,8,11,16,5,East
6,11,0,1,1,1,1,6,4,6,9,8,11,16,4,East
7,11,0,0,1,1,1,6,3,6,10,8,11,16,5,East
8,11,0,0,1,1,1,5,3,6,9,5,1,16,4,East
7,11,0,0,1,1,1,4,3,7,9,5,1,16,3,West
6,11,0,1,1,1,1,4,3,8,9,5,1,16,4,West
6,10,1,1,0,1,1,3,3,8,8,5,1,16,3,South
6,9,1,1,1,1,1,2,3,8,9,5,1,16,4,South
7,9,0,1,1,1,1,2,3,8,8,5,1,17,4,East
8,9,0,1,1,1,1,2,3,7,8,5,1,16,4,East
8,8,1,1,1,1,1,2,3,3,1,5,1,17,4,South
8,7,1,1,1,1,1,2,3,3,1,5,1,17,4,South
8,6,1,1,1,0,1,2,4,3,1,5,1,17,4,South
8,5,1,1,1,1,1,2,4,3,1,5,1,17,4,South
9,5,1,1,1,1,1,2,3,3,1,5,1,17,4,East
10,5,1,1,1,1,1,3,3,3,1,5,1,18,4,East
9,5,1,1,1,1,1,3,4,3,1,5,1,18,5,West
8,5,1,1,1,1,1,2,4,3,1,5,1,18,6,West
7,5,0,1,1,1,1,2,3,3,1,5,1,18,5,West
6,5,0,1,1,1,1,3,3,3,1,5,1,17,5,West
5,5,0,1,1,1,1,4,3,3,1,5,1,17,5,West
4,5,0,1,1,1,1,5,3,3,1,5,1,16,5,West
4,4,1,1,1,1,1,6,3,3,1,5,1,15,5,South
4,3,1,0,1,1,1,6,3,3,1,5,1,14,5,South
5,3,1,0,1,1,1,6,4,3,1,5,1,14,5,East
6,3,1,0,1,1,1,5,4,3,1,5,1,14,4,East
7,3,1,0,1,1,1,5,3,3,1,5,1,14,5,East
8,3,1,0,1,1,1,5,3,3,1,5,1,15,5,East
8,4,1,1,1,1,1,6,3,3,1,5,1,15,4,North
7,4,1,1,1,1,1,7,3,3,1,5,1,15,3,West
6,4,1,1,1,1,1,6,3,3,1,5,1,14,3,West
6,3,1,0,1,1,1,1,1,3,1,5,1,14,4,South
6,3,1,0,1,1,1,1,1,3,1,5,1,14,3,South
6,3,1,0,1,1,1,1,1,3,1,5,1,14,3,South
7,3,1,0,1,1,1,1,1,3,1,5,1,14,3,East
8,3,1,0,1,1,1,1,1,3,1,5,1,15,3,East
9,3,1,0,1,1,1,1,1,3,1,5,1,16,3,East
10,3,1,0,1,1,1,1,1,3,1,5,1,17,3,East
10,4,1,1,1,1,1,1,1,3,1,5,1,17,4,North
10,5,1,1,1,1,1,1,1,3,1,5,1,17,3,North
11,5,0,1,1,1,1,1,1,3,1,5,1,17,4,East
12,5,0,0,1,1,1,1,1,3,1,5,1,17,3,East
13,5,0,1,1,1,1,1,1,3,1,5,1,16,3,East
14,5,1,1,1,1,1,1,1,3,1,5,1,16,4,East
1,11,0,1,1,0,1,6,5,6,9,8,11,14,6,Stop
1,11,0,1,1,0,1,5,5,5,9,7,11,14,6,Stop
1,11,0,1,1,0,1,5,5,5,9,8,11,14,6,Stop
2,11,0,0,1,1,1,5,4,5,8,9,11,14,5,East
3,11,0,0,1,1,1,5,3,5,9,8,11,15,5,East
4,11,0,0,1,1,1,6,3,6,9,9,11,16,5,East
5,11,0,1,1,1,1,7,3,6,8,10,11,16,5,East
6,11,0,1,1,1,1,7,4,5,8,11,11,16,4,East
7,11,0,0,1,1,1,7,5,5,8,11,11,17,4,East
8,11,0,0,1,1,1,8,5,5,7,12,11,18,4,East
9,11,0,0,1,1,1,8,6,4,7,13,11,17,4,East
10,11,0,1,1,1,1,8,5,4,7,14,11,16,4,East
11,11,0,1,1,1,1,9,5,4,7,14,11,16,3,East
12,11,0,0,1,1,1,10,5,4,7,14,10,16,4,East
13,11,0,0,1,1,1,10,4,4,7,14,10,16,3,East
14,11,0,1,1,1,1,9,4,4,8,5,1,16,4,East
15,11,0,0,1,1,1,10,4,4,9,5,1,15,4,East
16,11,0,0,1,1,1,10,5,4,8,5,1,15,3,East
17,11,0,0,1,1,1,11,5,4,8,5,1,15,3,East
18,11,0,1,0,1,1,10,5,4,9,5,1,15,4,East
18,10,1,1,0,0,1,9,5,5,9,5,1,16,4,South
18,9,1,1,0,1,1,9,5,5,8,5,1,16,4,South
18,8,1,1,0,1,1,9,6,5,8,5,1,15,4,South
18,7,1,1,0,1,1,8,6,5,8,5,1,16,4,South
18,6,1,1,0,0,1,8,5,5,9,5,1,16,4,South
18,5,1,1,0,1,1,8,5,5,10,5,1,16,5,South
17,5,0,1,1,1,1,7,5,6,10,5,1,16,5,West
16,5,0,1,1,1,1,7,5,6,11,5,1,16,4,West
15,5,0,1,1,1,1,6,5,6,11,5,1,15,4,West
14,5,1,1,1,1,1,5,5,6,10,5,1,15,3,West
13,5,0,1,1,1,1,4,5,6,11,5,1,15,3,West
12,5,0,0,1,1,1,5,5,5,11,5,1,15,4,West
13,5,0,1,1,1,1,5,4,6,11,5,1,14,4,East
14,5,1,1,1,1,1,5,5,6,10,5,1,14,4,East
15,5,0,1,1,1,1,6,5,6,9,5,1,14,4,East
15,4,1,1,1,1,1,6,5,6,8,5,1,7,1,South
15,3,1,0,1,1,1,5,5,6,7,5,1,7,1,South
14,3,1,0,1,1,1,6,5,6,8,5,1,7,1,West
13,3,1,0,1,0,1,6,5,6,8,5,1,7,1,West
13,4,1,1,1,0,1,6,4,7,8,5,1,7,1,North
13,5,0,1,1,1,1,7,4,6,8,5,1,7,1,North
12,5,0,0,1,1,1,7,3,6,9,5,1,7,1,West
11,5,0,1,1,1,1,7,3,6,10,5,1,7,1,West
10,5,1,1,1,1,1,7,4,6,10,5,1,7,1,West
9,5,1,1,1,1,1,7,5,6,11,5,1,7,1,West
9,4,1,1,1,1,1,7,4,5,11,5,1,7,1,South
9,3,1,0,1,1,1,7,5,4,11,5,1,7,1,South
8,3,1,0,1,1,1,7,5,4,11,5,1,7,1,West
7,3,1,0,1,1,1,7,4,3,11,5,1,7,1,West
7,4,1,1,1,1,1,1,1,2,11,5,1,7,1,North
7,5,0,1,1,1,1,1,1,2,11,5,1,7,1,North
7,5,0,1,1,1,1,1,1,3,11,5,1,7,1,North
8,5,1,1,1,1,1,1,1,3,11,5,1,7,1,East
8,6,1,1,1,0,1,1,1,3,11,5,1,7,1,North
8,7,1,1,1,1,1,1,1,4,11,5,1,7,1,North
8,8,1,1,1,1,1,1,1,3,11,5,1,7,1,North
7,8,1,1,1,1,1,1,1,3,11,5,1,7,1,West
6,8,1,1,1,1,1,1,1,3,11,5,1,7,1,West
5,8,1,1,1,1,1,1,1,2,11,5,1,7,1,West
5,9,1,1,1,1,1,1,1,3,11,5,1,7,1,North
4,9,0,1,1,1,1,1,1,3,11,5,1,7,1,West
3,9,0,1,1,1,1,1,1,2,11,5,1,7,1,West
2,9,0,1,1,1,1,1,1,2,11,5,1,7,1,West
1,9,1,1,1,0,1,1,1,3,11,5,1,7,1,West
1,10,1,1,0,0,1,1,1,2,11,5,1,7,1,North
1,11,0,1,1,0,1,1,1,3,11,5,1,7,1,North
1,11,0,1,1,0,1,1,1,4,11,5,1,7,1,North
2,11,0,0,1,1,1,1,1,5,11,5,1,7,1,East
3,11,0,0,1,1,1,1,1,5,11,5,1,7,1,East
1,11,0,1,1,0,1,6,5,6,9,8,11,14,6,Stop
1,11,0,1,1,0,1,6,5,6,8,9,11,14,6,Stop
1,11,0,1,1,0,1,7,5,5,8,8,11,14,7,Stop
1,11,0,1,1,0,1,7,4,5,7,7,11,14,8,Stop
2,11,0,0,1,1,1,7,3,6,7,8,11,15,8,East
3,11,0,0,1,1,1,8,3,6,7,9,11,15,8,East
4,11,0,0,1,1,1,9,3,6,8,8,11,15,7,East
5,11,0,1,1,1,1,10,3,6,7,9,11,14,7,East
6,11,0,1,1,1,1,11,3,6,8,9,11,14,7,East
7,11,0,0,1,1,1,11,3,6,7,10,11,14,8,East
8,11,0,0,1,1,1,11,4,5,7,11,11,15,8,East
9,11,0,0,1,1,1,11,5,5,8,12,11,15,9,East
10,11,0,1,1,1,1,10,5,5,7,11,11,15,8,East
