@RELATION 'training_allmaps'

@ATTRIBUTE distNorth NUMERIC
@ATTRIBUTE distSouth NUMERIC
@ATTRIBUTE distEast NUMERIC
@ATTRIBUTE distWest NUMERIC
@ATTRIBUTE Score NUMERIC
@ATTRIBUTE NextScore NUMERIC
@ATTRIBUTE NearestFood NUMERIC
@ATTRIBUTE lastMove {North,South,East,West,Stop}

@data
10,99999,10,8,188,187,99999,West
10,99999,10,8,187,186,99999,West
99999,99999,10,8,186,185,99999,West
8,99999,10,8,185,184,99999,North
6,8,99999,6,184,183,99999,North
6,8,99999,6,183,182,99999,North
99999,6,99999,4,182,181,99999,West
99999,4,6,4,181,180,99999,South
6,4,6,4,180,179,99999,South
5,5,5,3,179,178,99999,West
5,5,5,3,178,177,99999,West
4,4,4,2,177,176,99999,West
4,4,4,2,176,175,99999,West
2,4,4,2,175,174,99999,North
3,3,3,1,174,373,99999,West
13,15,13,15,373,372,99999,North
13,15,13,15,372,371,99999,North
12,14,12,14,371,370,99999,North
10,12,10,12,370,369,99999,North
8,10,8,10,369,368,99999,North
6,8,6,8,368,367,99999,North
6,8,6,8,367,366,99999,North
5,7,5,7,366,365,99999,North
5,7,5,7,365,364,99999,North
99999,6,4,6,364,363,99999,East
99999,6,4,6,363,362,99999,East
99999,99999,4,6,362,361,99999,East
99999,99999,4,6,361,360,99999,East
99999,99999,4,6,360,359,99999,East
99999,99999,4,6,359,358,99999,East
99999,2,2,4,358,357,99999,South
2,0,2,99999,357,556,99999,South
6,99999,4,6,556,555,99999,East
4,99999,2,4,555,554,99999,East
4,99999,2,4,554,553,99999,East
2,4,2,4,0,-1,7,North
1,3,1,3,-1,-2,8,North
2,2,0,2,-2,197,9,East
7,5,7,7,197,196,8,South
6,4,6,6,196,195,7,South
5,3,5,5,195,194,6,South
4,2,4,4,194,193,5,South
3,1,3,3,193,192,6,South
2,0,2,2,192,391,7,South
9,9,9,7,391,390,8,West
8,8,8,6,390,389,9,West
7,7,7,5,389,388,10,West
6,6,6,4,388,387,11,West
5,5,5,3,387,386,12,West
4,4,4,2,386,385,13,West
3,3,3,1,385,384,14,West
2,2,2,0,384,583,15,West
7,9,7,9,583,582,16,North
6,8,6,8,582,581,15,North
5,7,5,7,581,580,14,North
99999,6,4,6,580,579,13,East
3,5,5,5,579,578,12,North
2,4,4,99999,578,577,13,North
1,3,3,1,577,576,14,North
2,4,2,4,0,-1,7,North
1,3,1,3,-1,198,8,North
6,4,6,6,198,197,9,South
6,4,6,4,197,196,8,South
4,2,4,2,196,195,7,South
4,2,4,2,195,194,6,South
4,2,4,2,194,193,7,South
2,4,4,2,193,192,8,North
4,2,4,2,192,191,7,South
3,3,3,1,191,190,8,West
2,2,2,0,190,389,9,West
10,8,10,8,389,388,10,South
9,9,9,7,388,387,11,West
9,7,9,7,387,386,12,South
7,7,7,5,386,385,13,West
5,5,5,3,385,384,14,West
3,5,5,3,384,383,15,North
5,5,5,3,383,382,14,West
