@RELATION 'training_keyboard'

@ATTRIBUTE pacMovesN {0,1}
@ATTRIBUTE pacMovesS {0,1}
@ATTRIBUTE pacMovesE {0,1}
@ATTRIBUTE pacMovesW {0,1}
@ATTRIBUTE pacMovesSTOP {0,1}
@ATTRIBUTE distNearestGhostX NUMERIC
@ATTRIBUTE distNearestGhostY NUMERIC
@ATTRIBUTE Score NUMERIC
@ATTRIBUTE NextScore NUMERIC
@ATTRIBUTE NearestFood NUMERIC
@ATTRIBUTE lastMove {North,South,East,West,Stop}

@data
1,1,1,1,1,3,1,471,470,9,West
1,1,1,0,1,2,1,470,469,10,South
1,1,1,1,1,2,0,469,468,11,West
0,1,1,1,1,1,0,468,667,12,West
0,1,1,1,1,-8,-1,667,666,13,East
0,1,1,1,1,-7,-1,666,665,12,East
1,1,1,1,1,-6,-1,665,664,11,East
1,1,1,1,1,-5,-1,664,663,10,East
1,1,1,1,1,-4,-1,663,662,9,East
0,1,1,1,1,-3,-1,662,661,8,East
0,0,1,1,1,-2,-1,661,660,7,East
0,1,1,1,1,-1,-1,660,659,6,East
0,1,1,0,1,-5,2,0,-1,14,Stop
0,1,1,0,1,-5,2,-1,-2,14,Stop
0,1,1,0,1,-5,2,-2,-3,14,Stop
0,1,1,0,1,-6,0,-3,-4,14,Stop
0,1,1,0,1,-6,0,-4,-5,14,East
0,0,1,1,1,-4,2,-5,-6,13,East
0,0,1,1,1,-3,2,-6,-7,12,East
0,0,1,1,1,-1,2,-7,-8,11,East
0,1,1,1,1,1,2,-8,-9,10,East
0,1,1,1,1,-2,0,-9,-10,9,East
0,0,1,1,1,-1,0,-10,189,8,East
0,0,1,1,1,3,2,189,188,7,West
0,0,1,1,1,1,2,188,187,8,West
0,1,1,1,1,1,2,187,186,9,South
1,1,0,1,1,1,0,186,185,8,South
1,1,1,1,1,1,0,185,184,7,South
1,1,1,1,1,2,-1,184,183,6,West
1,1,1,1,1,1,-1,183,182,7,North
1,1,1,1,1,1,0,182,181,8,North
1,1,1,0,1,1,2,181,180,9,North
0,1,1,1,1,1,4,180,179,10,West
0,0,1,1,1,0,4,179,178,11,West
0,0,1,1,1,-2,4,178,177,12,West
0,0,1,1,1,-3,4,177,176,13,East
0,0,1,1,1,-3,4,176,175,12,East
0,0,1,1,1,-1,4,175,174,11,East
0,1,1,1,1,0,4,174,173,10,South
1,1,1,0,1,-1,3,173,172,9,South
1,1,1,1,1,-1,1,172,171,8,South
1,1,1,1,1,-1,-1,171,170,7,South
1,0,1,1,1,-1,-1,170,169,6,East
1,0,1,1,1,0,-1,169,168,5,East
1,0,1,1,1,2,-1,168,167,4,North
1,1,1,1,1,3,0,167,166,5,North
0,1,1,1,1,2,1,166,165,6,West
1,1,1,1,1,1,2,165,164,7,West
1,1,1,1,1,0,1,164,363,8,South
1,1,1,1,1,-4,3,363,362,7,South
1,0,1,1,1,-5,2,362,361,6,South
1,0,1,1,1,-5,3,361,360,6,East
1,0,1,1,1,-4,2,360,359,5,East
1,0,1,1,1,-3,3,359,358,4,East
1,1,1,1,1,2,3,358,357,3,East
1,1,1,1,1,0,4,357,356,2,East
1,1,0,1,1,0,4,356,455,1,South
1,1,0,1,1,0,3,455,454,8,South
1,1,1,1,1,0,2,454,453,9,South
