@relation training_tutorial1-weka.filters.unsupervised.attribute.Remove-R9

@attribute pacMovesN {0,1}
@attribute pacMovesS {0,1}
@attribute pacMovesE {0,1}
@attribute pacMovesW {0,1}
@attribute pacMovesSTOP {0,1}
@attribute distNearestGhostX numeric
@attribute distNearestGhostY numeric
@attribute Score numeric
@attribute NearestFood numeric
@attribute lastMove {North,South,East,West,Stop}

@data
0,1,1,1,1,-6,2,676,8,East
0,0,1,1,1,-4,2,675,7,East
0,1,1,1,1,-3,1,674,6,East
1,1,1,1,1,-1,1,673,5,East
0,1,1,1,1,1,1,672,6,West
1,1,1,1,1,-1,1,671,5,East
0,1,1,1,1,0,2,670,6,South
1,1,1,1,1,-1,1,669,7,East
0,0,1,1,1,0,-12,0,1,East
1,0,1,1,1,1,-12,99,1,North
1,1,0,0,1,1,-11,198,1,North
0,1,1,0,1,1,-10,297,1,East
0,0,1,1,1,2,-10,396,1,East
0,0,1,1,1,3,-10,495,1,East
1,0,0,1,1,4,-10,594,1,North
1,1,0,0,1,4,-9,693,1,North
1,1,0,0,1,4,-8,792,1,North
0,1,1,1,1,4,-7,891,1,East
0,0,1,1,1,5,-7,990,1,East
0,0,1,1,1,6,-7,1089,1,East
1,1,0,1,1,7,-7,1188,1,North
1,1,0,0,1,7,-6,1287,1,North
1,1,0,0,1,7,-5,1386,1,North
1,1,1,1,1,7,-4,1485,1,North
1,1,0,0,1,7,-3,1584,1,North
1,1,0,0,1,7,-2,1683,1,North
1,1,0,0,1,7,-1,1782,1,North
1,1,1,1,1,7,0,1881,1,West
0,0,1,1,1,6,0,1880,2,West
1,1,1,0,1,5,0,1879,3,North
1,1,0,0,1,5,1,1878,2,North
0,1,0,1,1,5,2,1877,2,West
0,0,1,1,1,4,2,1876,3,West
0,0,1,1,1,3,2,1875,3,West
0,0,1,1,1,2,2,1874,3,West
1,0,1,1,1,1,2,1873,3,West
0,1,1,1,1,0,2,1872,4,South
1,1,0,1,1,0,1,1871,5,South
1,0,1,1,1,1,0,2070,5,West
1,0,1,1,1,3,0,2269,5,West
0,0,1,1,1,2,0,2268,4,West
0,0,1,1,1,1,0,2267,4,West
0,0,1,0,1,-7,0,2466,4,East
0,0,1,1,1,-6,0,2465,4,East
0,0,1,1,1,-5,0,2464,4,East
1,0,1,1,1,-4,0,2463,5,East
1,0,1,1,1,-3,0,2462,5,East
0,0,1,1,1,-2,0,2461,4,East
0,0,1,1,1,0,-12,0,1,East
1,0,1,1,1,2,-12,99,1,North
1,1,0,0,1,3,-11,198,1,North
0,1,1,0,1,2,-10,297,1,East
0,0,1,1,1,2,-10,396,1,East
0,0,1,1,1,3,-10,495,1,East
1,0,0,1,1,5,-10,594,1,North
1,1,0,0,1,5,-10,693,1,North
1,1,0,0,1,5,-9,792,1,North
0,1,1,1,1,5,-8,891,1,East
0,0,1,1,1,6,-9,990,1,East
0,0,1,1,1,6,-9,1089,1,East
1,1,0,1,1,7,-9,1188,1,North
1,1,0,0,1,6,-8,1287,1,North
1,1,0,0,1,6,-7,1386,1,North
1,1,1,1,1,6,-6,1485,1,North
1,1,0,0,1,6,-5,1584,1,North
1,1,0,0,1,5,-4,1683,1,North
1,1,0,0,1,5,-3,1782,1,North
1,1,1,1,1,6,-2,1881,1,West
0,0,1,1,1,5,-2,1880,2,West
1,1,1,0,1,5,-2,1879,3,North
1,1,0,0,1,5,0,1878,2,North
0,1,0,1,1,5,0,1877,2,West
0,0,1,1,1,3,0,1876,3,West
0,0,1,1,1,2,0,1875,3,West
0,0,1,1,1,1,0,1874,3,West
1,0,1,1,1,1,0,1873,3,North
1,1,0,0,1,1,2,2072,2,South
1,0,1,1,1,1,2,2071,3,West
0,1,1,1,1,1,2,2070,4,West
0,1,1,1,1,0,2,2069,4,South
1,1,1,0,1,-1,0,2068,5,East
1,1,0,1,1,-1,1,2267,5,South
1,0,1,1,1,-2,0,2266,5,East
