@relation training_keyboard-weka.filters.unsupervised.attribute.Remove-R21

@attribute pacPosX numeric
@attribute pacPosY numeric
@attribute pacMovesN {0,1}
@attribute pacMovesS {0,1}
@attribute pacMovesE {0,1}
@attribute pacMovesW {0,1}
@attribute pacMovesSTOP {0,1}
@attribute ghostPosX1 numeric
@attribute ghostPosY1 numeric
@attribute ghostPosX2 numeric
@attribute ghostPosY2 numeric
@attribute ghostPosX3 numeric
@attribute ghostPosY3 numeric
@attribute ghostPosX4 numeric
@attribute ghostPosY4 numeric
@attribute LivingGhost1 {0,1}
@attribute LivingGhost2 {0,1}
@attribute LivingGhost3 {0,1}
@attribute LivingGhost4 {0,1}
@attribute Score numeric
@attribute NearestFood numeric
@attribute lastMove {North,South,East,West,Stop}

@data
11,3,0,0,1,1,1,4,2,10,5,1,2,7,1,1,1,0,0,2653,1,West
10,3,1,0,1,1,1,4,1,11,5,1,1,6,1,1,1,0,0,2752,1,North
10,4,1,1,0,1,1,4,1,11,5,1,1,7,1,1,1,0,0,2751,2,North
10,5,0,1,1,1,1,4,2,11,5,2,1,8,1,1,1,0,0,2750,3,North
10,5,0,1,1,1,1,4,3,11,5,2,1,9,1,1,1,0,0,2749,3,East
11,5,0,0,0,1,1,4,3,4,1,2,1,8,1,1,0,0,0,2948,4,East
11,5,0,0,0,1,1,4,2,3,1,2,1,8,1,1,0,0,0,2947,4,East
11,5,0,0,0,1,1,4,1,3,1,2,1,7,1,1,0,0,0,2946,4,West
10,5,0,1,1,1,1,4,1,3,1,3,1,8,1,1,0,0,0,2945,3,West
9,5,0,1,1,1,1,4,2,2,1,2,1,9,1,1,0,0,0,2944,2,South
9,4,1,1,1,0,1,4,2,2,1,3,1,9,1,1,0,0,0,2943,1,South
9,3,1,0,1,1,1,4,2,2,1,3,1,9,1,1,0,0,0,3042,1,South
9,3,1,0,1,1,1,4,1,3,1,3,1,8,1,1,0,0,0,3041,1,West
8,3,0,0,1,1,1,3,1,4,1,4,1,7,1,1,0,0,0,3140,1,West
7,3,0,0,1,1,1,4,1,3,1,3,1,7,1,1,0,0,0,3239,1,West
6,3,1,1,1,0,1,3,1,4,1,4,1,8,1,1,0,0,0,3338,1,North
6,4,1,1,0,1,1,4,1,4,2,3,1,7,1,1,0,0,0,3437,1,West
5,4,1,0,1,1,1,4,2,4,2,2,1,6,1,1,0,0,0,3536,1,West
1,18,0,1,1,0,1,5,9,11,3,17,6,25,7,1,1,1,1,0,99999,Stop
1,18,0,1,1,0,1,5,9,11,3,17,6,25,7,1,1,1,1,-1,99999,Stop
1,18,0,1,1,0,1,5,9,11,3,17,6,25,7,1,1,1,1,-2,99999,Stop
1,18,0,1,1,0,1,5,9,11,3,17,6,25,7,1,1,1,1,-3,99999,Stop
1,18,0,1,1,0,1,5,9,11,3,17,6,25,7,1,1,1,1,-4,99999,Stop
1,18,0,1,1,0,1,5,9,11,3,17,6,25,7,1,1,1,1,-5,99999,South
1,17,1,1,0,0,1,5,9,11,3,17,6,25,7,1,1,1,1,-6,99999,South
1,16,1,1,1,0,1,5,9,11,3,17,6,25,7,1,1,1,1,-7,99999,South
1,15,1,1,1,0,1,5,9,11,3,17,6,25,7,1,1,1,1,-8,99999,South
1,14,1,1,1,0,1,5,9,11,3,17,6,25,7,1,1,1,1,-9,99999,South
